Country,Last,Previous,Reference,Unit
Burkina Faso,29.28,30.01,22-Dec,celsius
Mali,29.19,29.78,22-Dec,celsius
Senegal,29,29.62,22-Dec,celsius
Mauritania,28.9,29.3,22-Dec,celsius
Djibouti,28.6,28.52,22-Dec,celsius
Gambia,28.46,29.03,22-Dec,celsius
Benin,28.09,28.7,22-Dec,celsius
Guinea Bissau,28.05,28.68,22-Dec,celsius
Ghana,27.73,28.3,22-Dec,celsius
Niger,27.61,28.09,22-Dec,celsius
Sudan,27.57,28.17,22-Dec,celsius
Togo,27.47,28.04,22-Dec,celsius
Chad,27.28,27.7,22-Dec,celsius
Nigeria,27.15,27.67,22-Dec,celsius
Seychelles,27.11,27.26,22-Dec,celsius
Somalia,27.1,26.93,22-Dec,celsius
Ivory Coast,26.84,27.37,22-Dec,celsius
Sierra Leone,26.64,27.19,22-Dec,celsius
Eritrea,26.49,26.88,22-Dec,celsius
Guinea,25.95,26.6,22-Dec,celsius
Central African Republic,25.56,25.78,22-Dec,celsius
Liberia,25.47,25.87,22-Dec,celsius
Gabon,25.46,25.66,22-Dec,celsius
Kenya,25.22,25.25,22-Dec,celsius
Republic of the Congo,25.05,25.23,22-Dec,celsius
Cameroon,24.94,25.2,22-Dec,celsius
Equatorial Guinea,24.89,25.08,22-Dec,celsius
Mayotte,24.87,25.08,22-Dec,celsius
Sao Tome and Principe,24.66,24.93,22-Dec,celsius
Mozambique,24.42,24.53,22-Dec,celsius
Congo,24.38,24.46,22-Dec,celsius
Algeria,24.11,23.92,22-Dec,celsius
Comoros,23.74,23.92,22-Dec,celsius
Ethiopia,23.45,23.41,22-Dec,celsius
Mauritius,23.27,23.7,22-Dec,celsius
Egypt,23.23,23.88,22-Dec,celsius
Uganda,23.14,23.22,22-Dec,celsius
Tanzania,22.9,23,22-Dec,celsius
Libya,22.8,23.05,22-Dec,celsius
Madagascar,22.7,22.87,22-Dec,celsius
Cape Verde,22.67,22.76,22-Dec,celsius
Malawi,22.55,22.8,22-Dec,celsius
Botswana,22,21.74,22-Dec,celsius
Zambia,21.92,22.11,22-Dec,celsius
Zimbabwe,21.83,21.87,22-Dec,celsius
Angola,21.63,21.74,22-Dec,celsius
Tunisia,21.44,21.33,22-Dec,celsius
Swaziland,20.92,20.52,22-Dec,celsius
Burundi,20.43,20.51,22-Dec,celsius
Namibia,20.24,20.12,22-Dec,celsius
Rwanda,19.14,19.21,22-Dec,celsius
Morocco,19.1,18.48,22-Dec,celsius
South Africa,18.42,18.06,22-Dec,celsius
Lesotho,12.64,12.28,22-Dec,celsius
